,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2015-12-18,36.621482849121094,30.853946685791016,1.1871533353732124,-0.0068828683429842386,-2.4300042822590213,1,-2.4300042822590213,1,,1,-1,kalman_beta,-0.02455514090557709,-0.006665255543218951,0.45721531445775915,-0.5427846855422409,ES__SO,36399.4871017393,-43211.772518704034,-31.844503848177336,79611.25962044334
2015-12-21,36.345645904541016,30.87397193908691,1.1773281158277853,-0.0031493066240884104,-1.0594096536904065,1,-2.4300042822590213,2,,1,-1,kalman_beta,-0.007532107471358129,0.0006490337686724246,0.45927850411274185,-0.5407214958872582,ES__SO,36561.400149633686,-43044.764350193946,-303.02821795909676,79606.16449982763
2015-12-22,36.79569625854492,31.020906448364254,1.1860681148944952,0.002788225015045498,1.0450113324899082,1,-2.4300042822590213,3,,1,-1,kalman_beta,0.012382510829108018,0.0047591709148158134,0.45744228790796954,-0.5425577120920303,ES__SO,36427.826012703474,-43205.88292859186,247.0634154357349,79633.70894129534
2015-12-23,37.48530578613281,31.454994201660156,1.1916564723584757,0.0017583577261603978,0.6665881550152479,1,-2.4300042822590213,4,,1,-1,kalman_beta,0.018741581155099052,0.01399339358501539,0.4562758865781024,-0.5437241134218975,ES__SO,36349.4919411007,-43316.1073385549,77.35690145486763,79665.59927965561
2015-12-24,37.557884216308594,31.454994201660156,1.19399633464639,0.0007364332029169418,0.36204015067794443,0,,0,mean_reversion_exit,0,0,kalman_beta,0.0019361834898685704,0.0,0.0,0.0,ES__SO,0.0,0.0,37.82548919026543,0.0
2015-12-28,37.630470275878906,31.461671829223633,1.1960528783770712,0.0006471259811675623,0.31877945919041606,0,,0,,0,0,kalman_beta,0.0019326450646757198,0.0002122914892517258,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2015-12-29,37.67402267456055,31.561840057373047,1.1936809328244418,-0.000744006780344364,-0.19446455764413764,0,,0,,0,0,kalman_beta,0.0011573705659893019,0.0031838177161447323,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2015-12-30,37.637725830078125,31.56852912902832,1.1922686851339828,-0.0004428862023075908,-0.07868970509086637,0,,0,,0,0,kalman_beta,-0.0009634448860416089,0.00021193541451047793,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2015-12-31,37.07152557373047,31.24797248840332,1.1864250385106139,-0.001851389202045084,-0.5908323275481133,0,,0,,0,0,kalman_beta,-0.015043423688877011,-0.010154310304252845,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-01-04,36.93362808227539,31.40824508666992,1.1760257672628178,-0.0032774441542287036,-1.1009039154086075,0,,0,,0,0,kalman_beta,-0.003719768456272976,0.005129055919582459,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
