date,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,pair_return,window,pair_id
2012-01-03,22.544164657592773,25.068193435668945,1.0,-2.524028778076172,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-04,22.146320343017575,25.05147361755371,0.8840328241685734,-4.628692941821555e-06,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-05,22.133695602416992,25.018083572387695,0.8846974262425825,0.00026145640376284973,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-06,22.10213279724121,24.76199722290039,0.8924582007701929,0.0030853082150166244,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-09,21.792694091796875,25.023653030395508,0.8712176176200995,-0.008353285496284002,,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-01-10,21.767427444458008,24.934581756591797,0.872953961840037,0.0006855132168901434,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-11,21.6221866607666,25.084890365600582,0.8621298975388559,-0.004247299902061741,,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-01-12,21.634822845458984,25.112720489501953,0.8615180783269467,-0.00023985221847766525,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-13,21.615877151489254,25.20179748535156,0.8577698258016953,-0.0014642874103536485,,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-01-17,21.603240966796875,25.15725326538086,0.8587134459136192,0.0003693255600296652,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-18,21.54641342163086,25.301998138427734,0.8516778431914683,-0.002737781339821055,,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-01-19,21.173831939697266,25.04035186767578,0.8456825918880639,-0.0023577295479100258,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-20,21.697967529296875,25.21849250793457,0.8601747420602908,0.005657241134880309,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-23,21.74217414855957,25.257465362548828,0.8608118612625744,0.0002483790489122839,,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-24,21.817947387695312,24.99581718444824,0.8726769373492987,0.004674200628052461,0.27518427652730737,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-25,22.045289993286133,25.11829376220703,0.8775822043850328,0.001922383057667787,0.2616147312824164,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-26,22.272619247436523,25.229631423950195,0.8827166460901242,0.002003614797200015,0.2534224152693338,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-27,21.931617736816406,25.062623977661133,0.875190665838259,-0.0029568298467559373,0.23776884690304287,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-01-30,21.81163787841797,25.073747634887695,0.8699809728395179,-0.0020454817141910553,0.2326111520958352,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-01-31,21.944242477416992,25.363231658935547,0.8652710718807085,-0.0018281664688899468,0.22678957432287528,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-01,22.20316696166992,25.263031005859375,0.8786729717178986,0.005224433150047503,0.2335182964471276,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-02,22.171586990356445,24.910306930541992,0.8898789294466055,0.004429726819378033,0.2264279076592081,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-03,22.29157257080078,24.921554565429688,0.8943979678045738,0.0017848129496691456,0.21630066807870427,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-06,22.272619247436523,24.865299224853516,0.8957101071476273,0.0005194144851650151,0.2091409144181798,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-07,22.41155433654785,25.028432846069336,0.8954478927645756,-0.00010311466462553653,0.2035303135213568,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-08,22.493648529052734,25.095945358276367,0.8962928771549903,0.00033145895878661236,0.20027851054777443,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-09,22.392608642578125,25.135326385498047,0.8909649770054873,-0.0020868525025612428,0.19151084282224223,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-02-10,22.22842025756836,25.095945358276367,0.8858179756515272,-0.002019256761354171,0.18807583917896067,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-13,22.095813751220703,24.98906135559082,0.8842442478531864,-0.0006200117108292602,0.18762188292481569,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-14,22.03898048400879,25.056564331054688,0.8796412998040412,-0.0018083327837317142,0.18182780894815379,0,,0,,0,0,kalman_beta,-0.0,ignored,ES__SO
2012-02-15,22.430498123168945,24.865299224853516,0.9017286749580297,0.0087448007068609,0.20164770022287357,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-16,22.834644317626953,24.98906135559082,0.9135985092683377,0.004675115144152642,0.18938136921659057,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-17,22.79676055908203,24.966564178466797,0.9130995015966413,-0.0001967488565597364,0.1754831721782328,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
2012-02-21,22.727296829223633,24.786542892456055,0.9168605438125949,0.0014936336121671445,0.1766480346225351,0,,0,,0,0,kalman_beta,0.0,ignored,ES__SO
