date,equity,daily_return,gross_exposure,net_exposure
2012-01-03,1000000.0,0.0,0.0,0.0
2012-01-04,1000000.0,0.0,0.0,0.0
2012-01-05,1000000.0,0.0,0.0,0.0
2012-01-06,1000000.0,0.0,0.0,0.0
2012-01-09,1000000.0,0.0,0.0,0.0
2012-01-10,1000000.0,0.0,0.0,0.0
2012-01-11,1000000.0,0.0,0.0,0.0
2012-01-12,1000000.0,0.0,0.0,0.0
2012-01-13,1000000.0,0.0,0.0,0.0
2012-01-17,1000000.0,0.0,0.0,0.0
2012-01-18,1000000.0,0.0,0.0,0.0
2012-01-19,1000000.0,0.0,0.0,0.0
2012-01-20,1000000.0,0.0,0.0,0.0
2012-01-23,1000000.0,0.0,0.0,0.0
2012-01-24,1000000.0,0.0,0.0,0.0
2012-01-25,1000000.0,0.0,0.0,0.0
2012-01-26,1000000.0,0.0,0.0,0.0
2012-01-27,1000000.0,0.0,0.0,0.0
2012-01-30,1000000.0,0.0,0.0,0.0
2012-01-31,1000000.0,0.0,0.0,0.0
2012-02-01,1000000.0,0.0,0.0,0.0
2012-02-02,1000000.0,0.0,0.0,0.0
2012-02-03,1000000.0,0.0,0.0,0.0
2012-02-06,1000000.0,0.0,0.0,0.0
2012-02-07,1000000.0,0.0,0.0,0.0
2012-02-08,1000000.0,0.0,0.0,0.0
2012-02-09,1000000.0,0.0,0.0,0.0
2012-02-10,1000000.0,0.0,0.0,0.0
2012-02-13,1000000.0,0.0,0.0,0.0
2012-02-14,1000000.0,0.0,0.0,0.0
2012-02-15,1000000.0,0.0,0.0,0.0
2012-02-16,1000000.0,0.0,0.0,0.0
2012-02-17,1000000.0,0.0,0.0,0.0
2012-02-21,1000000.0,0.0,0.0,0.0
2012-02-22,1000000.0,0.0,0.0,0.0
2012-02-23,1000000.0,0.0,0.0,0.0
2012-02-24,1000000.0,0.0,0.0,0.0
2012-02-27,1000000.0,0.0,0.0,0.0
2012-02-28,1000000.0,0.0,0.0,0.0
2012-02-29,1000000.0,0.0,0.0,0.0
2012-03-01,1000000.0,0.0,0.0,0.0
2012-03-02,1000000.0,0.0,0.0,0.0
2012-03-05,1000000.0,0.0,0.0,0.0
2012-03-06,1000000.0,0.0,0.0,0.0
2012-03-07,1000000.0,0.0,0.0,0.0
2012-03-08,1000000.0,0.0,0.0,0.0
2012-03-09,1000000.0,0.0,0.0,0.0
2012-03-12,1000000.0,0.0,0.0,0.0
2012-03-13,1000000.0,0.0,0.0,0.0
2012-03-14,1000000.0,0.0,0.0,0.0
2012-03-15,1000000.0,0.0,0.0,0.0
2012-03-16,1000000.0,0.0,0.0,0.0
2012-03-19,1000000.0,0.0,0.0,0.0
2012-03-20,1000000.0,0.0,0.0,0.0
2012-03-21,1000000.0,0.0,0.0,0.0
2012-03-22,1000000.0,0.0,0.0,0.0
2012-03-23,1000000.0,0.0,0.0,0.0
2012-03-26,1000000.0,0.0,0.0,0.0
2012-03-27,1000000.0,0.0,0.0,0.0
2012-03-28,1000000.0,0.0,0.0,0.0
2012-03-29,1000000.0,0.0,0.0,0.0
2012-03-30,1000000.0,0.0,0.0,0.0
2012-04-02,1000000.0,0.0,0.0,0.0
2012-04-03,1000000.0,0.0,0.0,0.0
2012-04-04,1000000.0,0.0,0.0,0.0
2012-04-05,1000000.0,0.0,0.0,0.0
2012-04-09,1000000.0,0.0,0.0,0.0
2012-04-10,1000000.0,0.0,0.0,0.0
2012-04-11,1000000.0,0.0,0.0,0.0
2012-04-12,1000000.0,0.0,0.0,0.0
2012-04-13,1000000.0,0.0,0.0,0.0
2012-04-16,1000000.0,0.0,0.0,0.0
2012-04-17,1000000.0,0.0,0.0,0.0
2012-04-18,1000000.0,0.0,0.0,0.0
2012-04-19,1000000.0,0.0,0.0,0.0
2012-04-20,1000000.0,0.0,0.0,0.0
2012-04-23,1000000.0,0.0,0.0,0.0
2012-04-24,1000000.0,0.0,0.0,0.0
2012-04-25,1000000.0,0.0,0.0,0.0
2012-04-26,1000000.0,0.0,0.0,0.0
2012-04-27,1000000.0,0.0,0.0,0.0
2012-04-30,1000000.0,0.0,0.0,0.0
2012-05-01,1000000.0,0.0,0.0,0.0
2012-05-02,1000000.0,0.0,0.0,0.0
2012-05-03,999968.0,-3.2e-05,80000.0,4747.483545988885
2012-05-04,1000077.7810271579,0.00010978454026322567,0.0,0.0
2012-05-07,1000077.7810271579,0.0,0.0,0.0
2012-05-08,1000077.7810271579,0.0,0.0,0.0
2012-05-09,1000077.7810271579,0.0,0.0,0.0
2012-05-10,1000077.7810271579,0.0,0.0,0.0
2012-05-11,1000077.7810271579,0.0,0.0,0.0
2012-05-14,1000077.7810271579,0.0,0.0,0.0
2012-05-15,1000077.7810271579,0.0,0.0,0.0
2012-05-16,1000077.7810271579,0.0,0.0,0.0
2012-05-17,1000077.7810271579,0.0,0.0,0.0
2012-05-18,1000077.7810271579,0.0,0.0,0.0
2012-05-21,1000045.778538165,-3.2000000000000005e-05,80006.22248217264,-5158.419647815026
2012-05-22,999458.0704635035,-0.0005876811714766257,80003.6622830532,-4613.104299405575
2012-05-23,999285.004362063,-0.00017315994192758095,79956.64563708028,-4425.387419584993
2012-05-24,999385.6271166397,0.00010069475088440927,0.0,0.0
2012-05-25,999385.6271166397,0.0,0.0,0.0
2012-05-29,999385.6271166397,0.0,0.0,0.0
2012-05-30,999385.6271166397,0.0,0.0,0.0
2012-05-31,999385.6271166397,0.0,0.0,0.0
2012-06-01,999385.6271166397,0.0,0.0,0.0
2012-06-04,999385.6271166397,0.0,0.0,0.0
2012-06-05,999385.6271166397,0.0,0.0,0.0
2012-06-06,999385.6271166397,0.0,0.0,0.0
2012-06-07,999385.6271166397,0.0,0.0,0.0
2012-06-08,999385.6271166397,0.0,0.0,0.0
2012-06-11,999385.6271166397,0.0,0.0,0.0
2012-06-12,999385.6271166397,0.0,0.0,0.0
2012-06-13,999385.6271166397,0.0,0.0,0.0
2012-06-14,999353.646776572,-3.2e-05,79950.85016933118,-19967.25226787238
2012-06-15,999076.6403943261,-0.0002771855420144963,79948.29174212576,-19812.03983247817
2012-06-18,998617.1238534924,-0.0004599412319882378,0.0,0.0
2012-06-19,998585.1681055292,-3.199999999999999e-05,79889.36990827938,20371.83304579793
2012-06-20,998940.4762031507,0.00035581151109590874,79886.81344844234,20035.06872798527
2012-06-21,998826.9628330608,-0.00011363376777098496,0.0,0.0
2012-06-22,998826.9628330608,0.0,0.0,0.0
2012-06-25,998826.9628330608,0.0,0.0,0.0
2012-06-26,998826.9628330608,0.0,0.0,0.0
2012-06-27,998826.9628330608,0.0,0.0,0.0
2012-06-28,998826.9628330608,0.0,0.0,0.0
2012-06-29,998795.0003702501,-3.200000000000001e-05,79906.15702664488,-2166.6115693805405
2012-07-02,998799.9690909429,4.974715222808666e-06,0.0,0.0
2012-07-03,998799.9690909429,0.0,0.0,0.0
2012-07-05,998799.9690909429,0.0,0.0,0.0
2012-07-06,998799.9690909429,0.0,0.0,0.0
2012-07-09,998799.9690909429,0.0,0.0,0.0
2012-07-10,998799.9690909429,0.0,0.0,0.0
2012-07-11,998799.9690909429,0.0,0.0,0.0
2012-07-12,998799.9690909429,0.0,0.0,0.0
2012-07-13,998799.9690909429,0.0,0.0,0.0
2012-07-16,998799.9690909429,0.0,0.0,0.0
2012-07-17,998799.9690909429,0.0,0.0,0.0
2012-07-18,998799.9690909429,0.0,0.0,0.0
2012-07-19,998799.9690909429,0.0,0.0,0.0
2012-07-20,998799.9690909429,0.0,0.0,0.0
2012-07-23,998799.9690909429,0.0,0.0,0.0
