pair_id,symbol_a,symbol_b,entry_date,side,entry_z,exit_date,exit_reason,pnl
ES__SO,ES,SO,2018-08-08,-1,4.8491404664858155,2018-08-13,mean_reversion_exit,-930.7136165553093
ES__SO,ES,SO,2018-09-06,1,-2.91167679677139,2018-09-11,mean_reversion_exit,1469.158955261639
ES__SO,ES,SO,2018-12-06,-1,2.297828876599614,2018-12-10,mean_reversion_exit,459.55167686676384
ES__SO,ES,SO,2019-01-02,1,-2.848462387680376,2019-01-04,mean_reversion_exit,-803.2552826256492
ES__SO,ES,SO,2019-02-20,1,-2.534396136049369,2019-02-27,mean_reversion_exit,8.247252141415373
ES__SO,ES,SO,2019-05-23,-1,2.6153196529017584,2019-05-24,mean_reversion_exit,-41.170466561422934
ES__SO,ES,SO,2019-06-05,-1,3.246851966188795,2019-06-10,mean_reversion_exit,-181.23650658498346
ES__SO,ES,SO,2019-07-11,-1,2.599232530670015,2019-07-16,mean_reversion_exit,-306.31075541619043
ES__SO,ES,SO,2019-07-31,1,-4.151308041465279,2019-08-07,mean_reversion_exit,-212.08958246378995
ES__SO,ES,SO,2019-08-13,-1,3.386936167320653,2019-08-19,mean_reversion_exit,604.4820196868081
ES__SO,ES,SO,2019-10-30,1,-2.9587505304539463,2019-11-05,mean_reversion_exit,23.301703497840492
ES__SO,ES,SO,2019-12-10,-1,3.3091340716988644,2019-12-11,mean_reversion_exit,87.21233366348692
ES__SO,ES,SO,2019-12-19,-1,2.292325483242726,2019-12-20,mean_reversion_exit,214.35430476132126
ES__SO,ES,SO,2020-03-02,-1,2.9211487447604596,2020-03-04,mean_reversion_exit,921.8338879045036
ES__SO,ES,SO,2020-03-09,-1,4.208043715397646,2020-03-12,zscore_stop,-4564.601561168778
ES__SO,ES,SO,2020-03-13,-1,3.389472931966501,2020-03-18,mean_reversion_exit,3131.778745451567
ES__SO,ES,SO,2020-03-20,1,-2.3977929617604734,2020-03-26,mean_reversion_exit,-3776.2182580827302
ES__SO,ES,SO,2020-04-01,-1,3.1523203742276147,2020-04-02,mean_reversion_exit,791.7015996755204
ES__SO,ES,SO,2020-09-08,1,-2.3703095152747986,2020-09-23,mean_reversion_exit,-2180.1299801889368
ES__SO,ES,SO,2020-11-09,1,-2.3561349234792215,2020-11-13,mean_reversion_exit,-1826.061044092678
ES__SO,ES,SO,2021-01-12,-1,3.8926360455737203,2021-01-14,mean_reversion_exit,129.0258988827186
ES__SO,ES,SO,2021-01-19,1,-2.885800034822291,2021-01-22,mean_reversion_exit,782.4237772805665
ES__SO,ES,SO,2021-02-22,1,-2.3071080218777937,2021-02-26,mean_reversion_exit,2389.8018912859234
ES__SO,ES,SO,2021-06-24,-1,2.3868232898849073,2021-06-29,mean_reversion_exit,-812.5759836384334
ES__SO,ES,SO,2021-07-01,1,-2.668394016501033,2021-07-06,mean_reversion_exit,363.4745286575691
ES__SO,ES,SO,2021-07-07,-1,2.5899205501620606,2021-07-08,mean_reversion_exit,-99.92166016299245
ES__SO,ES,SO,2021-07-21,1,-2.6685649852462126,2021-07-23,mean_reversion_exit,199.65084715251533
ES__SO,ES,SO,2021-09-07,1,-2.770305166463496,2021-09-10,mean_reversion_exit,-583.1528447205243
